"Species"	"Barcode"	"Predator"	"Prey"	"Secondary"	"Parasite"	"Environmental"	"Contamination"
"Agalma okenii"	"134"	200908	0	0	0	0	0
"Apolemia lanosa"	"134"	2170940	12	0	6	4418	90
"Apolemia rubriversa"	"134"	768980	338	0	0	4	0
"Apolemia sp"	"134"	131294	10	0	8	9869	0
"Apolemia undescribed sp"	"134"	184682	328	0	0	0	0
"Bargmannia amoena"	"134"	832228	854722	0	34972	103667	26
"Bargmannia elongata"	"134"	53084	0	0	0	7758	0
"Bargmannia lata"	"134"	216820	100	0	66	7190	20
"Chuniphyes moserae"	"134"	131848	0	0	0	0	0
"Chuniphyes multidentata"	"134"	294478	82	0	0	0	0
"Cordagalma ordinatum"	"134"	247216	0	0	0	108	0
"Craseoa lathetica"	"134"	571043	0	0	0	2942	10
"Desmophyes annectens"	"134"	24080	0	0	0	0	0
"Diphyes dispar"	"134"	1213956	126	0	0	4	0
"Erenna cornuta"	"134"	100680	0	0	0	32	0
"Erenna sirena"	"134"	570810	0	0	6	4681	69
"Forskalia formosa"	"134"	291612	0	0	0	0	244
"Forskalia sp."	"134"	291654	197833	0	0	2763	203
"Frillagalma vityazi"	"134"	326949	0	0	0	804	6
"Gymnopraia lapislazula"	"134"	324830	0	0	0	178	0
"Halistemma rubrum"	"134"	108772	0	0	0	40	0
"Kephyes ovata"	"134"	112386	0	0	0	0	0
"Lensia conoidea"	"134"	77090	74	0	0	0	0
"Lilyopsis fluoracantha"	"134"	92334	0	0	0	0	0
"Lychnagalma utricularia"	"134"	118274	262484	0	0	2127	668
"Marrus claudanielis"	"134"	155882	0	0	0	58	0
"Muggiaea atlantica"	"134"	323722	6	0	0	134	0
"Nanomia (deep)"	"134"	215558	27460	0	0	0	0
"Nanomia sp. Atlantic"	"134"	3332483	49989	0	246	102	0
"Nanomia sp. shallow"	"134"	1038971	15934	0	0	416449	32
"Physalia physalis"	"134"	355426	3078	9696	2897	55046	2445
"Praya dubia"	"134"	257386	0	0	3718	28	0
"Resomia dunni"	"134"	631694	548	0	0	2082	140
"Resomia ornicephala"	"134"	204460	0	0	0	292	62
"Sphaeronectes christiansonae"	"134"	170886	0	0	0	0	0
"Sphaeronectes koellikeri"	"134"	706500	0	0	0	6	0
"Stephanomia amphytridis"	"134"	561836	0	0	0	288	0
"Sulculeolaria chuni"	"134"	361934	518	0	0	38	0
"Undescribed physonect L"	"134"	518118	2176	0	68	1668	206
"Undescribed physonect ZigZag"	"134"	48034	0	0	0	0	0
"Vogtia serrata"	"134"	381867	0	0	0	12812	102
"Agalma okenii"	"152"	245380	0	0	0	0	0
"Apolemia lanosa"	"152"	1876116	0	0	4	4653	38
"Apolemia rubriversa"	"152"	654018	566	0	0	154	0
"Apolemia sp"	"152"	73228	0	0	0	27922	38
"Apolemia undescribed sp"	"152"	159624	560	0	0	28	0
"Bargmannia amoena"	"152"	573028	850664	0	43808	5750	168
"Bargmannia elongata"	"152"	34850	0	0	0	14810	652
"Bargmannia lata"	"152"	188268	0	0	0	7478	2568
"Chuniphyes moserae"	"152"	75858	0	0	0	0	0
"Chuniphyes multidentata"	"152"	273330	126	0	0	0	0
"Cordagalma ordinatum"	"152"	253766	0	0	0	466	76
"Craseoa lathetica"	"152"	300952	0	0	0	1994	93
"Desmophyes annectens"	"152"	17768	0	0	0	0	0
"Diphyes dispar"	"152"	1180432	100	0	0	196	0
"Erenna cornuta"	"152"	93692	0	0	0	0	0
"Erenna sirena"	"152"	597024	0	0	0	610	892
"Forskalia formosa"	"152"	254126	0	0	0	0	122
"Forskalia sp."	"152"	286474	171942	0	0	777	32
"Frillagalma vityazi"	"152"	294093	0	0	0	652	416
"Gymnopraia lapislazula"	"152"	324682	0	0	0	126	0
"Halistemma rubrum"	"152"	71088	0	0	0	0	0
"Kephyes ovata"	"152"	95338	0	0	0	0	0
"Lensia conoidea"	"152"	65416	214	0	0	0	0
"Lilyopsis fluoracantha"	"152"	83216	0	0	0	0	0
"Lychnagalma utricularia"	"152"	81420	210840	0	0	5498	15
"Marrus claudanielis"	"152"	238629	0	0	0	411	0
"Muggiaea atlantica"	"152"	307070	0	0	0	0	0
"Nanomia (deep)"	"152"	183532	18624	0	0	49	0
"Nanomia sp. Atlantic"	"152"	2606042	64570	0	589	6	0
"Nanomia sp. shallow"	"152"	1451694	2	0	7472	308	10
"Physalia physalis"	"152"	513433	4692	17286	61	46718	0
"Praya dubia"	"152"	267248	0	0	5032	12	0
"Resomia dunni"	"152"	452424	852	0	0	8044	141
"Resomia ornicephala"	"152"	191229	0	0	0	131	486
"Sphaeronectes christiansonae"	"152"	95796	0	0	142	0	0
"Sphaeronectes koellikeri"	"152"	837460	554	0	0	4	0
"Stephanomia amphytridis"	"152"	1176800	0	0	0	24	0
"Sulculeolaria chuni"	"152"	242726	384	0	0	17	0
"Undescribed physonect L"	"152"	775828	0	0	6	96	56
"Undescribed physonect ZigZag"	"152"	54944	0	0	0	0	0
"Vogtia serrata"	"152"	220938	306	0	0	51714	39243
"Agalma okenii"	"166"	343690	0	0	0	0	0
"Apolemia lanosa"	"166"	1569349	0	0	2	126157	198
"Apolemia rubriversa"	"166"	1013384	684	0	0	0	0
"Apolemia sp"	"166"	126902	0	0	12	22808	69
"Apolemia undescribed sp"	"166"	231742	836	0	0	0	0
"Bargmannia amoena"	"166"	962821	601234	0	27504	18355	184
"Bargmannia elongata"	"166"	75246	49694	0	0	7756	14
"Bargmannia lata"	"166"	257068	32	0	0	10974	281
"Chuniphyes moserae"	"166"	139976	0	0	0	0	0
"Chuniphyes multidentata"	"166"	412232	184	0	0	0	0
"Cordagalma ordinatum"	"166"	128880	0	0	0	150	0
"Craseoa lathetica"	"166"	725955	0	0	0	1963	190
"Desmophyes annectens"	"166"	26420	0	0	0	0	0
"Diphyes dispar"	"166"	1846114	168	0	0	120	0
"Erenna cornuta"	"166"	123626	0	0	0	30	0
"Erenna sirena"	"166"	784320	0	0	0	268546	424
"Forskalia formosa"	"166"	351214	0	0	0	22	174
"Forskalia sp."	"166"	496764	215148	0	0	1584	795
"Frillagalma vityazi"	"166"	403428	0	0	0	4805	326
"Gymnopraia lapislazula"	"166"	492545	0	0	0	87	0
"Halistemma rubrum"	"166"	111148	22	0	0	28	0
"Kephyes ovata"	"166"	151474	0	0	0	0	0
"Lensia conoidea"	"166"	104220	220	0	0	0	0
"Lilyopsis fluoracantha"	"166"	119572	0	0	0	0	0
"Lychnagalma utricularia"	"166"	160406	316892	0	0	983	4378
"Marrus claudanielis"	"166"	210140	0	0	0	222	0
"Muggiaea atlantica"	"166"	413626	0	0	0	104	0
"Nanomia (deep)"	"166"	200858	34794	0	0	142	14
"Nanomia sp. Atlantic"	"166"	4101498	111670	0	252	184	19
"Nanomia sp. shallow"	"166"	1674148	47789	0	0	376	78
"Physalia physalis"	"166"	691498	10080	18058	1178	55745	90
"Praya dubia"	"166"	375722	0	0	3854	0	0
"Resomia dunni"	"166"	410908	1644	0	0	1344	450
"Resomia ornicephala"	"166"	264866	0	0	0	844	394
"Sphaeronectes christiansonae"	"166"	167576	0	0	0	0	28
"Sphaeronectes koellikeri"	"166"	1117446	1512	0	0	0	0
"Stephanomia amphytridis"	"166"	635992	0	0	0	311472	74
"Sulculeolaria chuni"	"166"	344552	1044	0	0	17	0
"Undescribed physonect L"	"166"	835444	996	0	0	382	100
"Undescribed physonect ZigZag"	"166"	74042	0	0	0	0	0
"Vogtia serrata"	"166"	440306	46	0	0	41668	359
"Agalma okenii"	"179"	269276	0	0	0	0	0
"Apolemia lanosa"	"179"	621231	0	0	0	783	8
"Apolemia rubriversa"	"179"	744976	952	0	0	12	0
"Apolemia sp"	"179"	87182	0	0	14	5240	29
"Apolemia undescribed sp"	"179"	131094	518	0	0	0	0
"Bargmannia amoena"	"179"	228308	203716	0	1242	132992	0
"Bargmannia elongata"	"179"	13892	25212	0	0	0	0
"Bargmannia lata"	"179"	105378	0	0	0	1248	0
"Chuniphyes moserae"	"179"	120248	0	0	0	210	0
"Chuniphyes multidentata"	"179"	297640	98	0	0	0	0
"Cordagalma ordinatum"	"179"	239604	0	0	0	230	0
"Craseoa lathetica"	"179"	383303	0	0	0	555	4
"Desmophyes annectens"	"179"	19092	0	0	0	0	0
"Diphyes dispar"	"179"	1295658	94	0	0	318	0
"Erenna cornuta"	"179"	96422	0	0	0	0	0
"Erenna sirena"	"179"	78012	0	0	0	104	0
"Forskalia formosa"	"179"	213734	0	0	0	20	0
"Forskalia sp."	"179"	259558	1321	0	0	1369	8
"Frillagalma vityazi"	"179"	257433	0	0	0	485	0
"Gymnopraia lapislazula"	"179"	316092	0	0	0	30	0
"Halistemma rubrum"	"179"	71476	20	0	0	0	0
"Kephyes ovata"	"179"	107470	0	0	0	0	0
"Lensia conoidea"	"179"	70748	234	0	0	40	0
"Lilyopsis fluoracantha"	"179"	74916	0	0	0	0	0
"Lychnagalma utricularia"	"179"	82954	139662	0	0	370	118
"Marrus claudanielis"	"179"	251870	0	0	0	24	0
"Muggiaea atlantica"	"179"	270204	0	0	0	0	0
"Nanomia (deep)"	"179"	123702	17772	0	0	8	0
"Nanomia sp. Atlantic"	"179"	1769034	38448	0	0	8	0
"Nanomia sp. shallow"	"179"	656620	4748	0	0	124652	10
"Physalia physalis"	"179"	316244	66	3252	46	10758	36
"Praya dubia"	"179"	315314	0	0	1560	0	0
"Resomia dunni"	"179"	266457	530	0	0	563	16
"Resomia ornicephala"	"179"	41806	0	0	0	0	26
"Sphaeronectes christiansonae"	"179"	88828	0	0	0	0	0
"Sphaeronectes koellikeri"	"179"	603878	488	0	0	6	0
"Stephanomia amphytridis"	"179"	272728	0	0	0	128123	0
"Sulculeolaria chuni"	"179"	148790	282	0	0	0	0
"Undescribed physonect L"	"179"	281076	230	0	0	5244	4
"Undescribed physonect ZigZag"	"179"	50846	0	0	0	0	0
"Vogtia serrata"	"179"	209538	0	0	0	12522	4
"Agalma okenii"	"261"	3984	0	0	0	0	0
"Apolemia lanosa"	"261"	341379	0	0	0	1972	418
"Apolemia rubriversa"	"261"	45176	0	0	0	0	74
"Apolemia sp"	"261"	5678	0	0	0	21674	0
"Apolemia undescribed sp"	"261"	9106	0	0	0	0	0
"Bargmannia amoena"	"261"	173490	238862	0	6406	1839	71
"Bargmannia elongata"	"261"	492	0	0	0	14359	167
"Bargmannia lata"	"261"	15218	0	0	0	5446	42
"Chuniphyes moserae"	"261"	5208	0	0	0	0	0
"Chuniphyes multidentata"	"261"	24258	0	0	0	0	0
"Cordagalma ordinatum"	"261"	23208	0	0	0	400	0
"Craseoa lathetica"	"261"	9034	0	0	0	582	448
"Desmophyes annectens"	"261"	1484	0	0	0	0	0
"Diphyes dispar"	"261"	68622	28	0	0	18	0
"Erenna cornuta"	"261"	4988	0	0	0	0	0
"Erenna sirena"	"261"	381172	0	0	0	176	204
"Forskalia formosa"	"261"	8132	0	0	0	0	0
"Forskalia sp."	"261"	23704	4839	0	0	270	405
"Frillagalma vityazi"	"261"	10034	0	0	0	850	60
"Gymnopraia lapislazula"	"261"	22131	0	0	0	31	0
"Halistemma rubrum"	"261"	12056	0	0	0	0	0
"Kephyes ovata"	"261"	14174	0	0	0	0	0
"Lensia conoidea"	"261"	7060	0	0	0	0	0
"Lilyopsis fluoracantha"	"261"	3218	0	0	0	0	0
"Lychnagalma utricularia"	"261"	3590	8214	0	0	8415	1149
"Marrus claudanielis"	"261"	24078	0	0	0	861	14
"Muggiaea atlantica"	"261"	31968	0	0	0	0	0
"Nanomia (deep)"	"261"	15378	1730	0	0	0	5
"Nanomia sp. Atlantic"	"261"	132966	6478	0	0	36	0
"Nanomia sp. shallow"	"261"	254286	5888	0	0	5596	5783
"Physalia physalis"	"261"	56268	3542	4148	428	15988	216
"Praya dubia"	"261"	9510	0	0	4422	0	0
"Resomia dunni"	"261"	64310	0	0	0	2936	50
"Resomia ornicephala"	"261"	17720	0	0	0	0	22
"Sphaeronectes christiansonae"	"261"	17570	0	0	0	0	0
"Sphaeronectes koellikeri"	"261"	79774	0	0	0	0	0
"Stephanomia amphytridis"	"261"	337372	0	0	0	14	78
"Sulculeolaria chuni"	"261"	8956	0	0	0	0	0
"Undescribed physonect L"	"261"	562812	180	0	0	144	164
"Undescribed physonect ZigZag"	"261"	1282	0	0	0	0	0
"Vogtia serrata"	"261"	20036	0	0	0	6460	59
"Agalma okenii"	"272"	285302	0	0	0	0	0
"Apolemia lanosa"	"272"	205384	584	0	2	812	0
"Apolemia rubriversa"	"272"	636742	286	0	0	128	0
"Apolemia sp"	"272"	56070	0	0	0	21761	0
"Apolemia undescribed sp"	"272"	199554	912	0	0	22	0
"Bargmannia amoena"	"272"	63066	2334	0	0	3042	94
"Bargmannia lata"	"272"	83864	98	0	0	3772	0
"Chuniphyes moserae"	"272"	102706	0	0	0	0	0
"Chuniphyes multidentata"	"272"	253350	610	0	0	0	0
"Cordagalma ordinatum"	"272"	297540	0	0	0	730	0
"Craseoa lathetica"	"272"	567852	0	0	0	5314	436
"Desmophyes annectens"	"272"	22196	24	0	0	0	0
"Diphyes dispar"	"272"	1421986	344	0	0	81	0
"Erenna cornuta"	"272"	39056	0	0	0	22	0
"Erenna sirena"	"272"	3	0	0	0	25	2
"Forskalia formosa"	"272"	143492	0	0	0	0	106
"Forskalia sp."	"272"	289007	100989	0	30	19994	424
"Frillagalma vityazi"	"272"	250296	0	0	0	2227	562
"Gymnopraia lapislazula"	"272"	170335	0	0	0	149	14
"Halistemma rubrum"	"272"	90616	0	0	0	0	0
"Kephyes ovata"	"272"	184342	0	0	0	0	0
"Lensia conoidea"	"272"	77346	622	0	0	0	0
"Lilyopsis fluoracantha"	"272"	82002	0	0	0	0	0
"Lychnagalma utricularia"	"272"	30896	241858	0	0	8828	1658
"Marrus claudanielis"	"272"	333346	0	0	0	1986	206
"Muggiaea atlantica"	"272"	224677	0	0	0	30	0
"Nanomia (deep)"	"272"	137370	14360	0	0	110	0
"Nanomia sp. Atlantic"	"272"	1416436	46402	0	90	250	0
"Nanomia sp. shallow"	"272"	533356	32	0	0	264	24
"Physalia physalis"	"272"	225146	0	1190	506	16924	1253
"Praya dubia"	"272"	398724	0	0	2280	0	0
"Resomia dunni"	"272"	510300	0	0	0	4842	472
"Resomia ornicephala"	"272"	188583	0	0	0	225	416
"Sphaeronectes christiansonae"	"272"	76212	216	0	0	140	12
"Sphaeronectes koellikeri"	"272"	310364	2160	0	0	1984	417
"Stephanomia amphytridis"	"272"	186804	0	0	0	76	12
"Sulculeolaria chuni"	"272"	381695	366	0	0	0	0
"Undescribed physonect L"	"272"	64688	0	0	0	360	96
"Undescribed physonect ZigZag"	"272"	56374	0	0	0	0	0
"Vogtia serrata"	"272"	325540	0	0	0	14896	1060
